TIME,WBHP:P1,WBHP:P2,WBHP:P3,WOPR:P1,WOPR:P2,WOPR:P3,WWPR:P1,WWPR:P2,WWPR:P3,WWCT:P1,WWCT:P2,WWCT:P3
7.4166665,3204.2454,3633.3857,3273.4304,265.41391,468.30679,251.32741,34.586105,131.69319,48.672585,0.11528701,0.21948867,0.16224195
7.4583335,3204.6365,3633.1335,3273.5396,265.28876,468.41577,251.26468,34.71125,131.58423,48.735321,0.11570416,0.21930705,0.16245107
7.5,3205.0251,3632.8765,3273.6465,265.16437,468.52408,251.20265,34.835625,131.47591,48.797356,0.11611874,0.21912651,0.16265784
7.5416665,3205.4111,3632.6152,3273.7512,265.04077,468.63177,251.14131,34.959229,131.36823,48.858692,0.11653076,0.21894702,0.16286232
7.5833335,3205.7944,3632.3499,3273.8542,264.91794,468.73883,251.08066,35.082069,131.26117,48.91935,0.11694024,0.21876861,0.16306449
7.625,3206.1753,3632.0808,3273.9548,264.79584,468.84525,251.02068,35.204151,131.15474,48.979328,0.11734717,0.21859124,0.16326442
7.6666665,3206.5537,3631.8081,3274.0537,264.67453,468.95105,250.96136,35.325478,131.04895,49.038639,0.11775159,0.21841493,0.16346213
7.7083335,3206.9294,3631.5325,3274.1506,264.55396,469.05621,250.90271,35.446049,130.9438,49.09729,0.1181535,0.21823967,0.16365764
7.75,3207.3027,3631.2537,3274.2454,264.43414,469.16074,250.84471,35.565872,130.83926,49.155289,0.1185529,0.21806544,0.16385096
7.7916665,3207.6733,3630.9722,3274.3384,264.31506,469.26465,250.78735,35.684948,130.73535,49.212646,0.11894982,0.21789226,0.16404216
7.8333335,3208.0417,3630.6882,3274.4294,264.19672,469.36792,250.73064,35.803284,130.63206,49.269367,0.11934427,0.21772012,0.16423123
